epoch,loss,lr,val_loss
0,-5.42907894470475,0.001,-10.570510183061872
1,-9.433045405846137,0.001,-12.913673673357282
2,-10.913449448424501,0.001,-14.116835185459681
3,-11.788346724076705,0.001,-15.174341746738978
4,-12.353608143794073,0.001,-15.864950725010463
5,-12.739241525724337,0.001,-16.29146412440709
6,-12.989717644530458,0.001,-16.567446844918386
7,-13.179510450982429,0.001,-16.615189961024694
8,-13.327093186316553,0.001,-16.54113142830985
9,-13.44173474745317,0.001,-17.185210636683873
